title,speaker,hall,companies,date,start_time,end_time,category,conf,text
"Фильтры для лица под капотом: Vision, сегментация и шейдеры в бою",Владислав Марков,2,Coffee&Code,18-11-2025,14:30,15:15,Under the Hood,Mobius,"Обычно iOS-разработчик пишет экраны и работает с API, но что есть за пределами таких задач? Мир компьютерного зрения и графики, где математика перестает быть абстрактной: линейная алгебра и тригонометрия оживляют мимику, а оптимизация превращается в шейдеры на GPU.

В докладе разберем, как устроены фильтры для лица под капотом: от трекинга лица и сегментации через Core ML до реалистичных фильтров.

Рассмотрим два подхода: 

На основе face landmarks с точечной обработкой разных зон лица.
На основе сегментационных моделей с цветовой обработкой разных сегментов.
Особое внимание уделим технической реализации: как работает Vision, как устроены сегментационные Core ML-модели и как писать собственные шейдеры для CIKernel, чтобы добиться максимальной производительности."
KMP в X5 Tech: переход бигтеха на новые технологии,"Анна Жаркова, Павел Баранов, Юрий Гришин, Дмитрий Алексеенков, Денис Александров",2,"ГК Юзтех, X5 Tech",18-11-2025,15:45,16:30,Trends,Mobius,"Если все еще сомневаетесь в KMP и хотите узнать больше о кроссплатформенной разработке — приходите на круглый стол. Команда тимлидов из X5 расскажет, как использует KMP для разработки B2B- и B2C-приложений. Анна Жаркова из ГК Юзтех поделится примерами, которые она описала в книге «Kotlin Multiplatform на практике». Обсудим секреты миграции, типичные ошибки и написание проектов с нуля. 

После круглого стола Анна подпишет книги всем желающим."
Реализация Flutter CLI для ОС Аврора,Никита Красавин,2,Открытая мобильная платформа,18-11-2025,17:00,17:45,Under the Hood,Mobius,"Для кроссплатформенного фреймворка крайне важна качественная реализация CLI. Flutter имеет готовое решение — Flutter CLI, компонент фреймворка, который позволяет разработчикам взаимодействовать с функциями Flutter SDK. Для поддержки платформоспецифичных функций — таких как сборка и установка приложений, работа с устройствами — Flutter использует CLI и API конкретной платформы. В докладе расскажу об организации и реализации основных функций Flutter CLI для поддержки новой платформы и о том, как расширить функциональность Flutter CLI под свои нужды. Приведу примеры реализации для ОС Аврора.

Будет полезно Flutter-разработчикам, разработчикам приложений для ОС Аврора, разработчикам фреймворков.

Используемые технологии: Flutter, Dart, Flutter CLI, Аврора SDK."
Раскрываем секреты: какие инструменты дизайн-системы помогут каждому,"Алевтина Чугунова, Алексей Бубляев",2,Сбер,18-11-2025,18:15,19:00,UX/UI in Mobile Development,Mobius,"Дизайн-система значительно повышает эффективность работы команды разработчиков. Она предоставляет прочную основу правил и стандартов, благодаря которым разработчики могут быстро принимать решения и сокращать время вывода новых функций.

В процессе создания нашей дизайн-системы мы столкнулись с рядом трудностей. Стандартные инструменты оказались недостаточными для решения некоторых задач, и мы решили разработать собственные, которыми хотим с вами поделиться. Эти инструменты упрощают работу с дизайн-системой, делают процесс тестирования интерфейсов более быстрым и удобным и, как бонус, позволяют классно представлять нашу систему другим командам."
Между offline и online: магия согласованного кеша,Александр Бисеров,3,VK,18-11-2025,12:00,12:45,Architecture,Mobius,"Существуют приложения, в которых пользователям нужен доступ к данным даже без сети. Для этого часто используют сложные схемы кеширования на базе SQLite. Но настоящие проблемы начинаются тогда, когда приложение возвращается в online. Можно ли доверять сохраненным данным? А если нет — какие именно нужно обновить, а какие оставить?

В докладе разберем, как хранить и актуализировать данные между сессиями. Посмотрим на реальные кейсы, сравним подходы к синхронизации и честно обсудим их плюсы и минусы"
"SwiftUI: Scroll, Text и немного магии",Татьяна Благообразова,3,"Сбер, Цифровой корпоративный банк",18-11-2025,13:15,14:00,UX/UI in Mobile Development,Mobius,"«Комьюнити, или Сообщество предпринимателей» — маленький стартап в большом проекте СберБизнес.

Расскажу, с какими интересными и нестандартными задачами мы столкнулись и как выполняли их на SwiftUI.

Будет про:

взаимоотношения со Scroll;
оригинальное использование ContentShape;
то, что надо знать про Text, делая социалку и не только. Как уживаются в одном тексте маркдауны, модификаторы и AttributedString.  Чего ждать от TextRenderer и облегчит ли он нам жизнь.
Вас ждет не просто интересный технический доклад, но и полезные примеры кода из доклада на GitHub."
А это понадобится после собеседования?,"Александр Гирев, Абакар Магомедов",3,"Wildberries & Russ, Альфа-Банк",18-11-2025,14:30,15:15,General,Mobius,"Порой кандидаты удивляются: зачем спрашивать на собеседованиях то, что никогда не понадобится на проекте? Обсудим несколько кейсов, когда технические знания, проверяемые на интервью, могут пригодиться при разработке приложений, причем иногда самым неожиданным образом"
"Мы пилили монолит. Много нас, а он один",Алексей Приходько,3,Яндекс,18-11-2025,15:45,16:30,Architecture,Mobius,"Расскажу про эволюцию Яндекс Смены. Как мы сначала впопыхах напилили монолит, а потом сквозь боль и слезы набирались опыта и уходили от монолита в сторону распределенной архитектуры."
Как мы ускоряем наши умные устройства,Павел Полищук,3,Яндекс,18-11-2025,17:00,17:45,Under the Hood,Mobius,"Когда пользовательские сценарии затрагивают сразу несколько процессов и голосовое взаимодействие является неотъемлемой частью сценария — как обеспечить пользователю лучший опыт? Поделюсь, как мы в Яндексе проходили путь улучшений в области скорости взаимодействия. Расскажу:

Как специфика работы умных устройств повлияла на наши методы.
Как мы строим и валидируем end-to-end-метрики, чтобы всегда быть в курсе динамики производительности.
Какие подходы используем для анализа медленных пользовательских сессий и как Perfetto помогает выявлять узкие места.
Покажу примеры улучшений сценария запуска Главного экрана и голосовых сценариев."
Онлайн-определитель номеров: секреты реализации Live Caller ID для iOS,Глеб Фандеев,3,Яндекс,18-11-2025,18:15,19:00,Under the Hood,Mobius,"Обзор реализации функции Live Caller ID на платформе iOS. Эта функция позволяет идентифицировать и блокировать нежелательные звонки в режиме реального времени.

Рассмотрим технические аспекты интеграции функции в мобильное приложение и то, как устроена технология «под капотом», включая использование прокси-серверов на стороне Apple для сокрытия IP-адресов пользователей, анонимной аутентификации и гомоморфного шифрования в совокупности с протоколом private information retrieval для обеспечения конфиденциальности данных. Затронем взаимодействие с Apple и особенности работы с их API и сравним с аналогичными возможностями в Android.

Доклад будет интересен разработчикам мобильных приложений, специализирующимся на вопросах безопасности, клиент-серверного взаимодействия, а также разработчикам средств автоматической защиты от спама."
"Когда структуры в Swift — не твои бро",Сергей Черепанов,1,"Альфа-Банк",19-11-2025,10:30,11:15,Under the Hood,Mobius,"Расскажу, что такое карта линковки и как с ее помощью находить код, сильнее всего увеличивающий размер приложения. Продемонстрирую особенности компилятора Swift и ситуации, когда для обычных структур генерируются десятки мегабайт бинарного кода. Покажу, как мы боролись с этой проблемой в iOS-приложении Альфа-Банка, сколько строк кода пришлось переписать и на сколько мегабайт уменьшилось приложение. Спойлер: оно того стоило!"
Проблемы геймификации мобильного приложения,Алексей Цуцоев,2,KODE,19-11-2025,10:30,11:15,Trends,Mobius,"Как встроить полноценную мини-игру в React Native-приложение, не будучи геймдевом? В докладе — реальный опыт команды, которая реализовала игровую механику в живом финтех-приложении, протестировала три подхода — Unity, React Native Game Engine, Godot — и прошла через CI/CD-ад, вес в 800 MB, отсутствие поддержки симуляторов и «патчи с любовью». Мы не дошли до production с Unity, но прошли путь, который теперь может сэкономить вам недели. А может, и отговорить от решения, о котором вы позже пожалеете."
Подменяем зависимости не оставляя следов,Александр Цикин,3,Т-Банк,19-11-2025,10:30,11:15,Infrastructure,Mobius,"Наш проект — это мультирепа, где отдельные репозитории — не только core-компоненты, но и активно меняющиеся фичи. Довольно часто перед нами стоит задача интегрировать изменения в конечное приложение, и на время разработки интеграции хочется иметь доступ к еще неопубликованной функциональности. В этом нам помогают локальные снапшоты, но они не всегда удобны.

В докладе рассмотрю альтернативный вариант доставки еще неопубликованной функциональности в конечный проект, который дает нам Gradle. Также разберем, как с помощью Gradle нам удается подменять необходимые зависимости на локальные проекты без каких-либо изменений в конечном.

В процессе увидим, как благодаря такому подходу мы научились объединять проекты в одной IDE, чтобы работать с ними как с одним целым."
"Сколько стоит BDUI?","Алексей Герман, Науруз Гулиев",1,"Альфа-Банк",19-11-2025,11:45,12:30,"UX/UI in Mobile Development, Trends",Mobius,"Если вы размышляете о внедрении BDUI-фреймворка для ускорения процессов разработки, наш опыт может быть вам полезен. Мы в Альфа-Банке с 2020 года создаем и развиваем свою BDUI-экосистему.

Наш доклад будет посвящен архитектуре этого решения, обзору всех ключевых компонентов и связям между ними — от дизайн-системы и общего репозитория до скриншот-тестов и Kotlin DSL, а также тем вызовам, которые нам пришлось преодолеть.

В завершение мы рассмотрим доступные опенсорс-альтернативы и поразмышляем над тем, стоит ли в 2025 году разрабатывать свой фреймворк или лучше использовать готовые решения."
(Не)очевидные связи: визуализация бизнес-логики через код,Игорь Лизунов,2,Т-Банк,19-11-2025,11:45,12:30,Under the Hood,Mobius,"С ростом мобильного проекта неизбежно наступает момент, когда сложность бизнес-логики достигает такого уровня, что даже опытные разработчики не могут удержать в голове всю картину взаимодействий. Это приводит к медленному онбордингу новичков, которые долго разбираются в связях между компонентами, а также к сложному рефакторингу, в результате которого неочевидные зависимости ломают половину приложения.

В докладе поделюсь нашим опытом создания инструмента, который автоматически преобразует связи в коде в интерактивный граф. Покажу, как Kotlin Embedded Compiler Plugin, анализ PSI-дерева и интеграция с Android Studio позволили создать живую документацию, которая никогда не устаревает, и дали возможность видеть архитектуру глазами компилятора — со всеми связями и зависимостями."
Неочевидное решение очевидной проблемы: грузим файлы,Ярослав Кулинич,3,"VK",19-11-2025,11:45,12:30,Under the Hood,Mobius,"Как простая бизнес-задача поддержки параллельной загрузки файлов вылилась в глубокий ресерч и проработанное решение. Вместо старого Java-аплоадера на OkHttp получилось реализовать легкий и гибкий coroutine-first аплоадер на базе java.nio и собственной TLS-обертки.

Также покажу, как минимизировать лишние аллокации и добиться максимально стабильной работы на слабых сетях, даже при аплоаде файлов в 4ГБ."
Защищаем ресурсы Android-приложений с Runtime Resource Overlay,Алёна Склярова,1,Positive Technologies,19-11-2025,13:00,13:45,Product Quality,Mobius,"Расскажу о малоизвестном, но мощном механизме операционной системы Android — Runtime Resource Overlay (RRO). Он позволяет приложению модифицировать собственные ресурсы и ресурсы других приложений на лету, без необходимости повторной компиляции.

RRO имеет большой потенциал для защиты ресурсов приложения. Например, можно хранить данные в зашифрованном виде и расшифровывать их только при запуске приложения через наложение оверлея ресурсов. Такая динамическая подмена ресурсов значительно затрудняет реверс-инжиниринг мобильного приложения.

Продемонстрирую несколько интересных баг в операционной системе, которые позволяют запрещать установку приложения на определенных устройствах, а также удалять приложение без взаимодействия с пользователем.

Доклад будет полезен разработчикам Android-приложений и мобильных ОС, исследователям безопасности и всем, кто интересуется безопасностью ОС и нестандартными подходами к защите мобильных приложений."
Зачем и как вам контрибьютить в open source,Даниил Липаткин,2,Яндекс Доставка,19-11-2025,13:00,13:45,Trends,Mobius,"Open source двигает индустрию и вашу карьеру. На реальных примерах покажу, почему контрибьют — это не страшно и не «для избранных», а выгодно лично вам.

Разберем быстрый путь от «хочу помочь» до первого принятого PR: как выбрать проект, где искать задачи, какие есть форматы вклада помимо кода, что важно знать о правилах репозиториев и ревью. Немного поговорим про Git/GitHub-практики, коснемся мобильной части, включая Flutter, и соберем чек-лист, с которым вы сможете сделать первый вклад в тот же вечер."
Privacy-First AI on iOS: Building On-Device LLM Experiences with Swift + Core ML,Amitesh Mani Tiwari,3,"Angel One",19-11-2025,13:00,13:45,Trends,Mobius,"Privacy issues with cloud-based LLMs like ChatGPT are becoming more prevalent as AI gets more pervasive. A strong substitute is provided by Apple's on-device AI approach, which is fueled by Core ML and Swift. In order to avoid cloud fees, latency, and data privacy concerns, this talk delves deeply into running large language models (LLMs) only on iOS devices.

What we'll cover:

Why on-device LLMs are important: offline functionality, cost savings, and privacy advantages.
Core ML Optimization: how to compress and convert Hugging Face models like Mistral and Phi-3 for iOS, including Metal GPU acceleration and 4-bit/8-bit quantization.
Swift integration: developing a responsive SwiftUI chatbot that manages memory, generates text in real time, and uses local LLM inference.
Challenges and solutions: using Apple's MLX framework, fallbacks for older devices, and tradeoffs between model size and speed.
The talk includes a live demo of a fully offline ChatGPT-like app running on an iPhone, plus benchmarks across devices. You will leave with actionable steps to implement private, efficient AI in your apps—no server required. Key takeaways:

Practical steps to deploy LLMs on iOS using Core ML + Swift.
Techniques to balance model size, speed, and accuracy.
Future-proofing apps for Apple’s on-device AI roadmap.
Target audience: intermediate/advanced iOS developers interested in AI, privacy, or cutting-edge Swift capabilities. "
Живая картинка: анимации и эффекты в кроссплатформенном BDUI-движке,Алексей Телышев,1,Альфа Банк,19-11-2025,14:15,15:00,UX/UI in Mobile Development,Mobius,"Разберу, как вдохнуть жизнь в интерфейсы с помощью анимаций и эффектов в кроссплатформенном BDUI-движке. Вы узнаете о трудностях создания универсального API, который работает на Android и iOS, и о том, как преодолеть технические вызовы. Обсудим:

1. Механизм переворачивания картинки: как реализовать эффект вращения изображения и других вью-элементов, сохранив единый подход для обеих платформ.

2. Таймер в интерфейсе: тонкости внедрения таймеров, которые синхронизируются и выглядят одинаково на Android и iOS.

3. Анимации в BDUI: процесс интеграции плавных и выразительных анимаций, которые делают интерфейс интерактивным и привлекательным.

4. Эффект блюра: секреты создания стильного размытия, которое не только радует глаз, но и работает эффективно на разных устройствах."
Разработка виджетов в Android: что может пойти не так,Александр Гирев,2,"Wildberries & Russ",19-11-2025,14:15,15:00,UX/UI in Mobile Development,Mobius,"На собеседованиях часто задают вопрос: «Какой реализованной фичей ты гордишься больше всего?» Я часто по-доброму завидовал кандидатам, когда они рассказывали, с какими крутыми вещами им довелось поработать. В прошлом году такая вкусная задача появилась и в моем резюме: я разработал виджет рабочего стола для нашего приложения.

Обсудим, с какими нюансами и трудностями можно столкнуться при разработке виджетов и почему подобные задачи важны для профессионального роста."
Твое первое приложение на KMP для ОС Аврора,Денис Глазков,3,Открытая мобильная платформа,19-11-2025,14:15,15:00,"Trends, Under the Hood",Mobius,"Речь пойдет о перспективах адаптации фреймворка Kotlin Multiplatform под ОС Аврора и о том, как выглядит создание KMP-приложения с точки зрения мобильного разработчика.

Поговорим об инструменте QtBindings, который позволяет связать бизнес-логику на KMP с графическим интерфейсом на Qt/QML. Покажу, как использовать API ОС Аврора на стороне Kotlin. Бонусом расскажу о текущем статусе поддержки Compose Multiplatform и о том, как уже сегодня можно писать приложения на CMP под ОС Аврора.

Доклад будет полезен тем, кто хочет разрабатывать приложения под ОС Аврора, сохраняя привычный стек технологий и язык программирования, а также тем, кто планирует портировать существующие KMP-приложения на эту операционную систему."
Java-Swift interop vs Kotlin-Swift export. Путь к сингулярности,Анна Жаркова ,1,ГК Юзтех  ,19-11-2025,15:30,16:15,Under the Hood,Mobius,"Компания JetBrains анонсировала выпуск полноценного прямого экспорта из Kotlin/Native в Swift к осени 2025 года. Такое решение поможет ускорить компиляцию кроссплатформенных библиотек для iOS, а также решит ряд проблем с производительностью и управлением памятью.

Это решение со стороны Kotlin. Но знали ли вы, что решения для использования Swift для Android существуют давно? Это и поддержка работы со Swift standard library (stdlib), и работа с кодом через C/C++ и JNI. В 2025 году Apple подготовили мощный инструмент SwiftJava, который позволит конвертировать код между языками и переиспользовать кодовую базу другой технологии, делать код общим, но без использования KMP.

Какое же решение лучше и когда стоит использовать то или иное? В докладе расскажу о различиях между работой нового инструмента для конвертации кода из Java в Swift и обратно и прямым экспортом Kotlin-Swift. Поговорим о том, как можно использовать эти решения на практике, как и когда их использовать в приложениях Android и iOS, в том числе через Gradle и SPM, и что лучше: натив или кроссплатформа. Обсудим плюсы, минусы, ограничения и лучшие практики."
От личной продуктивности к командной: сила шаблонизации в IDE,Никита Каплицкий,2,Coffee&Code,19-11-2025,15:30,16:15,Trends,Mobius,"Одной из ключевых проблем в разработке остается большое количество рутинного, шаблонного кода (boilerplate), который замедляет работу и увеличивает вероятность ошибок. В докладе мы рассмотрим, как системный подход к созданию и использованию шаблонов в IDE позволяет кардинально решить эту проблему, а создание общей базы шаблонов поможет одновременно достичь нескольких целей: значительно ускорить разработку, стандартизировать процессы в команде и упростить адаптацию новых сотрудников.

Мы детально разберем этот подход на практическом примере организации presentation-слоя и UDF-архитектуры. Вы узнаете о практиках создания и структурирования шаблонов, способах хранения и синхронизации внутри команды, а также о том, как качественнее «продавать» технические решения своей команде.

Доклад будет особенно полезен разработчикам, стремящимся минимизировать свою рутину, и техлидам, заинтересованным в повышении общей эффективности команд."
Путь инди-хакера,Александр Гращенков,3,RoadAR,19-11-2025,15:30,16:15,Product Quality,Mobius,"Тема инди у нас почти не обсуждается. Лишь немногие разработчики после работы находят в себе интерес заниматься своими проектами. Еще меньше тех, кто решает довести дело до пользователей и залить проект в App Store. И совсем единицы зарабатывают на этом. Расскажу о своем опыте и поделюсь наработками для быстрого старта.

В докладе будет много всего: ASO, идеальный онбординг, paywall, ASA, TikTok и много историй приложений, попавших и не попавших в App Store."
"День, когда API-ключ ушел в свободное плавание: сценарии атак мобильных приложений глазами хакера",Сергей Арефьев,1,BI.ZONE,19-11-2025,16:45,17:30,Product Quality,Mobius,"Почему стоит думать о безопасности мобильных приложений еще на этапе разработки? В докладе я предлагаю посмотреть на мобильное приложение так, как это делает злоумышленник: изучим, где и как можно атаковать приложение, что из этого можно извлечь и какие ошибки могут дорого обойтись разработчику.

Это будет выполнено на примерах реальных уязвимостей из практики. Разберем поверхность атак на мобильные приложения — подробно расскажу о:

0-click атаках, которые не требуют взаимодействия пользователя;
1-click атаках, при которых пользователь взаимодействует с вредоносной ссылкой или компонентом;
других векторах — злоумышленном ПО, атаках с физическим доступом.
Рассмотрим примеры реальных уязвимостей, которые могут быть обнаружены в приложении. Поговорим, к чему они могут привести и как можно от них защититься.

Будет интересно мобильным разработчикам, инженерам по безопасности и архитекторам, которым важно понимать, как их решения могут быть использованы против них.

Технологии: Kotlin/Java, Android SDK, ProGuard, WebView, adb и Frida, mitmproxy."
Один code style для всех: как укротить SwiftLint в масштабах компании,Артем Вичужанин,2,"Naumen",19-11-2025,16:45,17:30,Under the Hood,Mobius,"Каждая команда настраивает SwiftLint по‑своему, и со временем вместо единого стандарта вы получаете десятки разрозненных конфигов. В одних проектах одни правила, в других — совсем другие. В итоге ревью сводится к бесконечным дискуссиям о стиле, новые разработчики теряются в локальных хитростях, а корпоративные стандарты остаются только на бумаге.

В докладе расскажу, как навести порядок с помощью Remote Configs в SwiftLint. Я построил систему, где правила управляются централизованно, но при этом у команд остается возможность гибко расширять их под свои задачи. В основе — единый репозиторий с конфигурациями в GitLab.

Покажу реальную архитектуру, примеры интеграции и подводные камни, которые стоит учесть. Вы узнаете, как перейти от хаоса разрозненных lint-правил к прозрачной иерархии: корпоративные → подразделения → команды → проекты.

Результат — единый code style во всей компании, меньше споров на ревью, быстрее онбординг и более предсказуемое качество разработки."
Дизайн—код. На пути к экосистеме,"Дмитрий Строков, Александр Шовтюк",3,Финам,19-11-2025,16:45,17:30,UX/UI in Mobile Development,Mobius,"Сегодня цифровые продукты растут быстрее, чем когда-либо, и чем больше сервисов, тем сложнее сохранять единый пользовательский опыт. В Финаме мы прошли путь от отдельных продуктов с разрозненным UI к попытке выстроить единую экосистему.

01. Дизайн

Мы разберёмся, почему разрозненность возникает на уровне интерфейсов, объясним, как дизайн-система становится инструментом выравнивания визуального и продуктового слоя. Коротко пройдём по её архитектуре: палитра, токены, темы и принципы, которые задают единый язык для всех команд.

02. Разработка

Затем перейдём к тому, как дизайн передаётся в код. Покажем, как мы используем Figma API, генерацию Dart-токенов и архитектуру Flutter, чтобы снижать расхождения между макетами и продуктом.

03. Стратегия

В завершение обсудим, как измерять прогресс. Разберём виды консистентности и посмотрим на модель зрелости, которая помогает оценивать состояние процессов, понимать зону роста и выстраивать развитие экосистемы как долгосрочную стратегию, а не набор точечных улучшений.

Доклад будет полезен всем, кто работает на стыке дизайна и разработки и ищет практический путь к экосистеме, где решения синхронизируются от макета до продакшен-кода."
"Биохакинг: можно ли заставить организм делать то, что он не хочет?","Алексей Водовозов, Андрей Дмитриев",1,"JUG Ru Group",19-11-2025,18:00,18:45,Biohacking,Mobius,"Хочешь спать по четыре часа, бегать марафоны, не стареть и держать голову ясной до глубокой ночи? Биохакинг обещает все это — и даже больше. Но что из этого реально работает, а что — миф, замешенный на тревоге, маркетинге и недоверии к врачам?

Алексей Водовозов — врач, медицинский журналист, автор книги «Пациент разумный» и блога «Смотровая Военврача» — предлагает отложить БАДы, выключить подкаст с бывшим айтишником — биохакером и заглянуть в научные данные.

Где кончается самовнушение и начинается физиология? Почему анализы — это не инструкция к действию? И можно ли вообще «взломать» тело, не сломав его по пути?"
Закрытие конференции Mobius 2025 Autumn,"Юрий Дубовой, Кирилл Клебанов",1,"Делимобиль",19-11-2025,18:50,19:05,,Mobius,"Подводим итоги, вспоминаем яркие моменты и рассказываем о дальнейших планах. Приходите в зал или подключайтесь к трансляции, чтобы ничего не пропустить!"
